value,label
catalonian restaurant,Catalonian Restaurant
catering service,Catering Service
catholic cathedral,Catholic Cathedral
catholic church,Catholic Church
catholic school,Catholic School
cattle farm,Cattle Farm
cattle market,Cattle Market
caucasian restaurant,Caucasian Restaurant
cbse school,Cbse School
cd store,Cd Store
ceiling supplier,Ceiling Supplier
cement manufacturer,Cement Manufacturer
cement supplier,Cement Supplier
cendol restaurant,Cendol Restaurant
central authority,Central Authority
central bank,Central Bank
ceramic manufacturer,Ceramic Manufacturer
ceramics wholesaler,Ceramics Wholesaler
certification agency,Certification Agency
chankonabe restaurant,Chankonabe Restaurant
charter school,Charter School
chartered accountant,Chartered Accountant
cheese manufacturer,Cheese Manufacturer
cheese shop,Cheese Shop
cheesesteak restaurant,Cheesesteak Restaurant
chemical engineer,Chemical Engineer
chemical exporter,Chemical Exporter
chemical manufacturer,Chemical Manufacturer
chemical plant,Chemical Plant
chemical wholesaler,Chemical Wholesaler
chemistry faculty,Chemistry Faculty
chemistry lab,Chemistry Lab
chesapeake restaurant,Chesapeake Restaurant
chess club,Chess Club
chess instructor,Chess Instructor
chettinad restaurtant,Chettinad Restaurtant
chevrolet dealer,Chevrolet Dealer
chicken hatchery,Chicken Hatchery
chicken restaurant,Chicken Restaurant
chicken shop,Chicken Shop
child psychiatrist,Child Psychiatrist
child psychologist,Child Psychologist
childbirth class,Childbirth Class
children hall,Children Hall
children policlinic,Children Policlinic
childrens cafe,Childrens Cafe
childrens club,Childrens Club
childrens farm,Childrens Farm
childrens home,Childrens Home
childrens hospital,Childrens Hospital
childrens library,Childrens Library
childrens museum,Childrens Museum
childrens store,Childrens Store
childrens theater,Childrens Theater
chilean restaurant,Chilean Restaurant
chimney services,Chimney Services
chimney sweep,Chimney Sweep
chinaware store,Chinaware Store
chinese pastry,Chinese Pastry
chinese restaurant,Chinese Restaurant
chinese supermarket,Chinese Supermarket
chinese takeaway,Chinese Takeaway
chocolate artisan,Chocolate Artisan
chocolate cafe,Chocolate Cafe
chocolate factory,Chocolate Factory
chocolate shop,Chocolate Shop
chop bar,Chop Bar
chophouse restaurant,Chophouse Restaurant
christian church,Christian Church
christian college,Christian College
christmas market,Christmas Market
christmas store,Christmas Store
chrysler dealer,Chrysler Dealer
cider bar,Cider Bar
cider mill,Cider Mill
cigar shop,Cigar Shop
citroen dealer,Citroen Dealer
city administration,City Administration
city courthouse,City Courthouse
city hall,City Hall
city park,City Park
civic center,Civic Center
civil defence,Civil Defence
civil engineer,Civil Engineer
civil police,Civil Police
civil registry,Civil Registry
clothes market,Clothes Market
clothing store,Clothing Store
clothing supplier,Clothing Supplier
clothing wholesaler,Clothing Wholesaler
cng station,Cng Station
coaching center,Coaching Center
coal exporter,Coal Exporter
coal supplier,Coal Supplier
coat wholesaler,Coat Wholesaler
cocktail bar,Cocktail Bar
coed school,Coed School
coffee roasters,Coffee Roasters
coffee shop,Coffee Shop
coffee stand,Coffee Stand
coffee store,Coffee Store
coffee wholesaler,Coffee Wholesaler
coffin supplier,Coffin Supplier
coin dealer,Coin Dealer
collectibles store,Collectibles Store
colombian restaurant,Colombian Restaurant
comedy club,Comedy Club
comic cafe,Comic Cafe
commercial agent,Commercial Agent
commercial printer,Commercial Printer
commercial refrigeration,Commercial Refrigeration
community center,Community Center
community college,Community College
community garden,Community Garden
community school,Community School
company registry,Company Registry
computer club,Computer Club
computer consultant,Computer Consultant
computer service,Computer Service
computer store,Computer Store
computer wholesaler,Computer Wholesaler
concert hall,Concert Hall
concrete contractor,Concrete Contractor
concrete factory,Concrete Factory
condiments supplier,Condiments Supplier
condominium complex,Condominium Complex
confectionery wholesaler,Confectionery Wholesaler
conference center,Conference Center
conservation department,Conservation Department
conservative club,Conservative Club
conservative synagogue,Conservative Synagogue
conservatory specialist,Conservatory Specialist
consignment shop,Consignment Shop
construction company,Construction Company
container service,Container Service
container supplier,Container Supplier
container terminal,Container Terminal
containers supplier,Containers Supplier
continental restaurant,Continental Restaurant
convenience store,Convenience Store
convention center,Convention Center
cookie shop,Cookie Shop
cooking class,Cooking Class
cooking school,Cooking School
cooling plant,Cooling Plant
cooperative bank,Cooperative Bank
copper supplier,Copper Supplier
copy shop,Copy Shop
copywriting service,Copywriting Service
corporate campus,Corporate Campus
corporate office,Corporate Office
cosmetic dentist,Cosmetic Dentist
cosmetic surgeon,Cosmetic Surgeon
cosmetics industry,Cosmetics Industry
cosmetics store,Cosmetics Store
cosmetics wholesaler,Cosmetics Wholesaler
cosplay cafe,Cosplay Cafe
costume store,Costume Store
cottage rental,Cottage Rental
cotton exporter,Cotton Exporter
cotton mill,Cotton Mill
cotton supplier,Cotton Supplier
countertop contractor,Countertop Contractor
