,ID,NAMA,KOORDINAT,ALAMAT,RATING,JML_RATING,TAG_GOOGLE,KELURAHAN,KECAMATAN,KOTA,PROVINSI,TIPE,IDCARI,DATA_UPDATE
255,256,Arkavisi,"-7.7887477, 110.3744776",Jl. Yos Sudarso No.21,5.0,1,Registri perusahaan,KEPARAKAN,MERGANGSAN,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,company registry,50835,2024-05-29 09:05:02
256,257,Ranting Muhammadiyah Gulurejo,"-7.9016291, 110.2584447",37X5+89W,4.3,3,Kantor Hubungan Masyarakat,GULUREJO,LENDAH,KAB. KULON PROGO,DAERAH ISTIMEWA YOGYAKARTA,company registry,50964,2024-05-29 09:05:05
257,258,LKM BINANGUN GULUREJO,"-7.9063879, 110.2572105",37V4+CVW,5.0,1,Kantor Perusahaan,GULUREJO,LENDAH,KAB. KULON PROGO,DAERAH ISTIMEWA YOGYAKARTA,company registry,50964,2024-05-29 09:05:05
258,259,Kantor Dukuh Klipuh,"-7.9009104, 110.2383697",36XQ+J8Q,5.0,2,Kantor Perusahaan,GULUREJO,LENDAH,KAB. KULON PROGO,DAERAH ISTIMEWA YOGYAKARTA,company registry,50964,2024-05-29 09:05:05
259,260,Balai Desa Gulurejo,"-7.9121281, 110.2625609","37Q7+42V, Jl. Mendiro Barat",4.7,7,Kantor Pemerintah,GULUREJO,LENDAH,KAB. KULON PROGO,DAERAH ISTIMEWA YOGYAKARTA,company registry,50964,2024-05-29 09:05:05
260,261,iPeken,"-7.6833407, 110.398237","Dusun Ketulan Rt4 Rw2, Candibinangun, Pakem",4.3,7,Agen Pemasaran,CANDIBINANGUN,PAKEM,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,52353,2024-05-29 09:05:09
261,262,"Balai Desa Candibinangun, Pakem, Sleman, DIY","-7.6590764, 110.4044591",8CR3+9Q8,4.4,17,Kantor Perusahaan,CANDIBINANGUN,PAKEM,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,52353,2024-05-29 09:05:09
262,263,Arkavisi,"-7.7887477, 110.3744776",Jl. Yos Sudarso No.21,5.0,1,Registri perusahaan,PANEMBAHAN,KRATON,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,company registry,52842,2024-05-29 09:05:12
263,264,TEMPAT BIKIN KAOS TBK,"-7.8951837, 110.3208395",rt 02 sanggrahan bantulkarang ringinharjo,4.3,3,Kantor Perusahaan,RINGINHARJO,BANTUL,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,53379,2024-05-29 09:05:16
264,265,Kelurahan Ringinharjo,"-7.885501, 110.3183177",Ktr. Desa Ringinharjo,4.3,4,Kantor Pemda,RINGINHARJO,BANTUL,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,53379,2024-05-29 09:05:16
265,266,KPM Bantul Kota,"-7.8903876, 110.3229654",Jl. Prof. Dr. Supomo. Sh No.2,3.3,6,Perusahaan Asuransi Jiwa,RINGINHARJO,BANTUL,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,53379,2024-05-29 09:05:16
266,267,Pemerintah Kalurahan Ringinharjo,"-7.8853943, 110.3182925",Jl. Kh. Hasyim Ashari No.136,4.1,8,Kantor Pemerintah,RINGINHARJO,BANTUL,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,53379,2024-05-29 09:05:16
267,268,RUMAH KREATIF BANTUL,"-7.8908435, 110.3242189",Jl. Prof. Dr. Supomo. Sh No.2,4.5,14,Kantor Perusahaan,RINGINHARJO,BANTUL,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,53379,2024-05-29 09:05:16
268,269,Sekretariat Daerah Kabupaten Bantul,"-7.8866254, 110.3278469",Jl. Wolter Monginsidi No.1,4.7,11,Kantor Pemerintahan Daerah,RINGINHARJO,BANTUL,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,53379,2024-05-29 09:05:16
269,270,Dinas Tenaga Kerja dan Transmigrasi Kabupaten Bantul,"-7.8902248, 110.3241196",Jl. Gatot Subroto No.1,4.4,149,Dinas Tenaga Kerja,RINGINHARJO,BANTUL,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,53379,2024-05-29 09:05:16
270,271,Balai Desa Umbulrejo Ponjong Gunungkidul,"-7.9509083, 110.7187593",2PX9+JGJ,4.4,40,Kantor Perusahaan,UMBULREJO,PONJONG,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,53594,2024-05-29 09:05:18
271,272,Ngumbul. Bangunkerto Turi Sleman Yogyakarta,"-7.635955, 110.361714",Jalan Umbul Kulon,4.1,14,Jasa Kurir,BANGUNKERTO,TURI,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,53697,2024-05-29 09:05:20
272,273,PT. MilangKori Persada,"-7.672972, 110.36533","Jalan Turi KM 4, RT 01 / RW 05 Desa Kalangan",5.0,2,Registri perusahaan,BANGUNKERTO,TURI,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,53697,2024-05-29 09:05:20
273,274,SPBE Bokoharjo,"-7.7724812, 110.4791214",6FHH+2J5,4.4,7,Kantor Perusahaan,BOKOHARJO,PRAMBANAN,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,53816,2024-05-29 09:05:21
