ID,PROVINCE,CITY,DISTRICT,WARD,POSTAL_CODE,DATA_UPDATE
301,JAWA TENGAH,KAB. SUKOHARJO,KARTASURA,MAKAMHAJI,57558,
302,SUMATERA UTARA,KAB. LANGKAT,KUALA,BEKIUNG,20772,
303,KALIMANTAN TENGAH,KAB. KATINGAN,PULAU MALAN,MANDUING LAMA,74453,
304,JAMBI,KAB. MUARO JAMBI,SUNGAI BAHAR,MARGA MULYA,36365,
305,ACEH,KAB. ACEH JAYA,PASIE RAYA,BINTAH,23641,
306,SULAWESI TENGAH,KAB. POSO,LORE BARAT,TUARE,94655,
307,ACEH,KAB. ACEH TENGAH,BEBESEN,KEMILI,24552,
308,SULAWESI SELATAN,KAB. SINJAI,SINJAI TIMUR,PASIMARANNU,92671,
309,JAWA BARAT,KAB. PANGANDARAN,LANGKAPLANCAR,BOJONG,46591,
310,JAWA TENGAH,KAB. MAGELANG,SALAM,KADILUWIH,56584,
311,JAWA TIMUR,KAB. MOJOKERTO,SOOKO,SOOKO,61361,
312,KALIMANTAN TIMUR,KOTA BALIKPAPAN,BALIKPAPAN SELATAN,SEPINGGAN,76115,
313,JAWA BARAT,KAB. KUNINGAN,JALAKSANA,MANIS KIDUL,45554,
314,JAWA TENGAH,KAB. SRAGEN,SUMBERLAWANG,KACANGAN,57272,
315,SUMATERA SELATAN,KAB. OGAN KOMERING ULU SELATAN,KISAM TINGGI,GUNUNG MEGANG,32279,
316,JAWA TENGAH,KAB. PEKALONGAN,PANINGGARAN,BOTOSARI,51164,
317,SUMATERA UTARA,KAB. SERDANG BEDAGAI,DOLOK MASIHUL,MARTEBING,20991,
318,SUMATERA SELATAN,KAB. BANYUASIN,AIR KUMBANG,PANCA MULYA,30966,
319,SUMATERA SELATAN,KAB. EMPAT LAWANG,PASEMAH AIR KERUH,PENANTIAN,31898,
320,SUMATERA SELATAN,KAB. LAHAT,MERAPI SELATAN,TANJUNG BERINGIN,31473,
321,JAWA TENGAH,KAB. KLATEN,JOGONALAN,KARANGDUKUH,57452,
322,BENGKULU,KAB. MUKO MUKO,PONDOK SUGUH,PONDOK KANDANG,38766,
323,LAMPUNG,KAB. LAMPUNG SELATAN,TANJUNG BINTANG,TRIMULYO,35561,
324,BANTEN,KAB. PANDEGLANG,CISATA,CIBARANI,42279,
325,NUSA TENGGARA TIMUR,KAB. NGADA,RIUNG,LATUNG,86471,
326,JAWA TIMUR,KAB. BANYUWANGI,MUNCAR,SUMBERBERAS,68472,
327,NUSA TENGGARA BARAT,KAB. LOMBOK BARAT,LINGSAR,SIGERONGAN,83372,
328,NUSA TENGGARA BARAT,KOTA BIMA,RABA,RONTU,84139,
329,ACEH,KAB. ACEH BARAT,WOYLA,RANTO PANYANG,23682,
330,NUSA TENGGARA BARAT,KAB. SUMBAWA BARAT,MALUK,MANTUN,84459,
331,LAMPUNG,KAB. LAMPUNG TENGAH,BANDAR MATARAM,UMAN AGUNG MATARAM,34269,
332,KALIMANTAN UTARA,KAB. NUNUKAN,SEBATIK UTARA,LAPRI,77437,
333,ACEH,KAB. ACEH BESAR,KUTA BARO,COT CUT,23372,
334,JAWA BARAT,KAB. KUNINGAN,SUBANG,PAMULIHAN,45586,
335,SUMATERA SELATAN,KAB. OGAN KOMERING ILIR,LEMPUING JAYA,LUBUK MAKMUR,30682,
336,LAMPUNG,KAB. PRINGSEWU,PRINGSEWU,PRINGSEWU TIMUR,35713,
337,SUMATERA UTARA,KAB. PADANG LAWAS UTARA,PORTIBI,PASIR PINANG,22782,
338,JAWA TENGAH,KAB. WONOSOBO,SELOMERTO,SINDUAGUNG,56361,
339,MALUKU,KOTA AMBON,LEITIMUR SELATAN,KILANG,97133,
340,SUMATERA UTARA,KAB. SERDANG BEDAGAI,DOLOK MASIHUL,PARDOMUAN,20991,
341,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA SELATAN,PAYUNG,BEDENGUNG,33778,
342,MALUKU UTARA,KOTA TIDORE KEPULAUAN,TIDORE,SELI,97815,
343,MALUKU,KOTA AMBON,TELUK AMBON,RUMAH TIGA,97223,
344,DAERAH ISTIMEWA YOGYAKARTA,KAB. GUNUNGKIDUL,PLAYEN,GETAS,55861,
345,NUSA TENGGARA BARAT,KOTA BIMA,MPUNDA,SANTI,84111,
346,PAPUA TENGAH,KAB. DOGIYAI,MAPIA,BONAKUNU,98874,
347,RIAU,KAB. INDRAGIRI HULU,LUBUK BATU JAYA,AIR PUTIH,29358,
348,JAWA TIMUR,KAB. MOJOKERTO,DLANGGU,PUNGGUL,61371,
349,LAMPUNG,KAB. PRINGSEWU,SUKOHARJO,PANDAN SARI SELATAN,35774,
350,NUSA TENGGARA TIMUR,KAB. SABU RAIJUA,SABU TENGAH,TADA,85394,
351,JAWA BARAT,KAB. TASIKMALAYA,PANCATENGAH,TAWANG,46494,
352,SUMATERA UTARA,KAB. PADANG LAWAS,BARUMUN TENGAH,MANOMBO,22755,
353,SUMATERA UTARA,KAB. PADANG LAWAS UTARA,BATANG ONANG,SIMANGAMBAT DOLOK,22761,
354,SULAWESI TENGAH,KAB. MOROWALI,BUNGKU SELATAN,PULAUBAPA,94941,
355,SUMATERA SELATAN,KOTA LUBUK LINGGAU,LUBUK LINGGAU SELATAN I,LUBUK KUPANG,31637,
356,JAWA TIMUR,KAB. PASURUAN,BEJI,GUNUNG GANGSIR,67154,
357,MALUKU UTARA,KAB. HALMAHERA TIMUR,WASILE SELATAN,BINA GARA,97864,
358,ACEH,KAB. PIDIE,GEULUMPANG TIGA,TUFAH JEULATANG,24183,
359,ACEH,KAB. ACEH BESAR,DARUL IMARAH,LAMSITEH,23352,
360,SUMATERA UTARA,KAB. DELI SERDANG,SIBOLANGIT,BULUH AWAR,20357,
361,JAWA TIMUR,KAB. NGANJUK,BERBEK,TIRIPAN,64473,
362,JAWA TENGAH,KAB. KLATEN,JOGONALAN,TITANG,57452,
363,MALUKU,KAB. BURU,TELUK KAIELY,KAIELY,97374,
364,JAWA BARAT,KAB. GARUT,CIBIUK,MAJASARI,44193,
365,PAPUA BARAT DAYA,KAB. FAK FAK,KRAMONGMONGGA,BAHBADAN,98657,
366,SULAWESI SELATAN,KAB. WAJO,MANIANGPAJO,ANABANUA,90952,
367,LAMPUNG,KAB. TANGGAMUS,SEMAKA,SRI KATON,35691,
368,JAWA TENGAH,KAB. WONOSOBO,SUKOHARJO,KAJEKSAN,56363,
369,JAWA TENGAH,KAB. KEBUMEN,ROWOKELE,REDISARI,54372,
370,NUSA TENGGARA TIMUR,KAB. NAGEKEO,NANGARORO,KOTAKEO,86964,
371,KALIMANTAN UTARA,KAB. MALINAU,KAYAN SELATAN,LONG AMPUNG,77573,
372,KALIMANTAN TIMUR,KAB. KUTAI KARTANEGARA,TENGGARONG,SUKARAME,75515,
373,LAMPUNG,KAB. PRINGSEWU,PAGELARAN,SUKA RATU,35775,
374,KALIMANTAN TENGAH,KAB. KATINGAN,PETAK MALAI,TUMBANG JALA,74459,
375,JAWA TIMUR,KAB. MALANG,GEDANGAN,SIDODADI,65178,
376,BANTEN,KAB. LEBAK,MAJA,GUBUGAN CIBEUREUM,42381,
377,SULAWESI SELATAN,KAB. PANGKAJENE KEPULAUAN,BALOCCI,MAJANNANG,90662,
378,KEPULAUAN RIAU,KAB. KARIMUN,KUNDUR,LUBUK,29662,
379,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA SELATAN,PAYUNG,IRAT,33778,
380,SULAWESI BARAT,KAB. MAMASA,ARALLE,PANETEAN,91373,
381,PAPUA BARAT DAYA,KAB. TELUK WONDAMA,NAIKERE,SARARTI,98595,
382,SULAWESI SELATAN,KAB. WAJO,TANASITOLO,TANCUNG,90951,
383,JAWA TENGAH,KAB. KARANGANYAR,NGARGOYOSO,PUNTUKREJO,57793,
384,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA TENGAH,NAMANG,NAMANG,33685,
385,KALIMANTAN BARAT,KAB. LANDAK,NGABANG,HILIR TENGAH,78312,
386,SULAWESI SELATAN,KAB. BONE,SALOMEKKO,BELLU,92775,
387,SULAWESI TENGAH,KAB. TOJO UNA UNA,WALEA KEPULAUAN,POPOLII,94692,
388,KALIMANTAN BARAT,KAB. BENGKAYANG,SUTI SEMARANG,KIUNG,79276,
389,JAWA TIMUR,KAB. JEMBER,UMBULSARI,UMBULREJO,68166,
390,JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,TINJOMOYO,50262,
391,JAWA TIMUR,KAB. KEDIRI,BANYAKAN,TIRON,64157,
392,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,HOLUON,SIA,99076,
393,LAMPUNG,KAB. WAY KANAN,NEGARA BATIN,GEDUNG JAYA,34772,
394,NUSA TENGGARA TIMUR,KAB. NGADA,WOLOMEZE,DENATANA,86474,
395,JAWA TIMUR,KAB. BLITAR,SRENGAT,PURWOKERTO,66152,
396,SULAWESI TENGAH,KAB. POSO,PAMONA TIMUR,MASEWE,94668,
397,LAMPUNG,KAB. LAMPUNG BARAT,AIR HITAM,SINAR JAYA,34887,
398,MALUKU,KAB. BURU SELATAN,KEPALA MADAN,WAEPANDAN,97354,
399,PAPUA PEGUNUNGAN,KAB. TOLIKARA,NUNGGAWI,NUNGGAWI,99431,
400,PAPUA,KAB. JAYAPURA,KEMTUK,MANDA YAWAN,99367,
401,JAWA TIMUR,KAB. MALANG,KROMENGAN,JATIKERTO,65169,
402,KALIMANTAN SELATAN,KOTA BANJARMASIN,BANJARMASIN SELATAN,PEMURUS BARU,70249,
403,SUMATERA SELATAN,KAB. OGAN KOMERING ULU TIMUR,MADANG SUKU III,SUKA DAMAI,32368,
404,JAWA TIMUR,KAB. TUBAN,PLUMPANG,TRUTUP,62382,
405,ACEH,KAB. ACEH UTARA,LHOKSUKON,PANTE,24382,
406,JAWA BARAT,KAB. CIANJUR,CIKALONGKULON,PADAJAYA,43291,
407,JAWA TIMUR,KAB. MAGETAN,PARANG,PRAGAK,63371,
408,JAWA BARAT,KAB. GARUT,PAKENJENG,PANYINDANGAN,44164,
409,MALUKU UTARA,KOTA TERNATE,PULAU HIRI,TOMAJIKO,97737,
410,GORONTALO,KAB. BONE BOLANGO,BULAWA,KAIDUNDU BARAT,96586,
411,LAMPUNG,KAB. LAMPUNG TIMUR,MARGA SEKAMPUNG,GIRI MULYO,34389,
412,JAWA TENGAH,KAB. WONOSOBO,KALIKAJAR,KALIKAJAR,56372,
413,LAMPUNG,KAB. LAMPUNG UTARA,BLAMBANGAN PAGAR,TANJUNG IMAN,34571,
414,SUMATERA UTARA,KAB. SIMALUNGUN,GUNUNG MALELA,SERAPUH,21153,
415,MALUKU,KAB. MALUKU BARAT DAYA,PULAU-PULAU BABAR TIMUR,NAKARHAMTO,97451,
416,JAWA TENGAH,KAB. PURWOREJO,KALIGESING,SUDOROGO,54175,
417,SUMATERA SELATAN,KAB. MUARA ENIM,KELEKAR,TANJUNG MEDANG,31372,
418,ACEH,KAB. ACEH JAYA,SETIA BHAKTI,SAPEK,23655,
419,JAWA TIMUR,KAB. TUBAN,SINGGAHAN,TINGKIS,62361,
420,SUMATERA UTARA,KAB. MANDAILING NATAL,MUARA SIPONGI,BANDAR PANJANG,22998,
421,JAWA TENGAH,KAB. JEPARA,MAYONG,NGROTO,59465,
422,SUMATERA SELATAN,KAB. BANYUASIN,TALANG KELAPA,TALANG BULUH,30961,
423,SULAWESI BARAT,KAB. POLEWALI MANDAR,MATAKALI,PETAMPANUA,91342,
424,JAWA TIMUR,KAB. TRENGGALEK,MUNJUNGAN,SOBO,66365,
425,NUSA TENGGARA BARAT,KAB. BIMA,MADAPANGGA,MPURI,84164,
426,SUMATERA SELATAN,KAB. PENUKAL ABAB LEMATANG ILIR,PENUKAL UTARA,TEMPIRAI,31262,
427,SUMATERA UTARA,KOTA MEDAN,MEDAN DENAI,MEDAN TENGGARA,20228,
428,JAWA TENGAH,KAB. BANYUMAS,KEBASEN,CINDAGA,53172,
429,NUSA TENGGARA TIMUR,KAB. SIKKA,PALUE,MALURIWU,86191,
430,ACEH,KAB. PIDIE,GRONG-GRONG,TEUNGOH,24154,
431,KALIMANTAN BARAT,KAB. SAMBAS,JAWAI,PELIMPAAN,79454,
432,KALIMANTAN BARAT,KAB. BENGKAYANG,BENGKAYANG,SETIA BUDI,79215,
433,JAWA TIMUR,KAB. PAMEKASAN,PADEMAWU,PREKBUN,69381,
434,JAWA TIMUR,KAB. JOMBANG,MOJOAGUNG,MIAGAN,61482,
435,JAWA TENGAH,KAB. SEMARANG,PRINGAPUS,WONOYOSO,50553,
436,BANTEN,KAB. PANDEGLANG,CIBITUNG,KIARAJANGKUNG,42287,
437,BANTEN,KAB. LEBAK,CIKULUR,PASIRGINTUNG,42356,
438,SUMATERA BARAT,KOTA PARIAMAN,PARIAMAN SELATAN,PUNGGUNG LADING,25533,
439,RIAU,KAB. KUANTAN SINGINGI,KUANTAN HILIR,TERATAK BARU,29561,
440,KALIMANTAN TIMUR,KAB. MAHAKAM ULU,LONG PAHANGAI,LIU MULANG,75868,
441,JAWA TIMUR,KAB. LUMAJANG,KEDUNGJAJANG,KEDUNGJAJANG,67358,
442,SUMATERA UTARA,KAB. TAPANULI UTARA,PURBA TUA,JANJI NAULI,22467,
443,JAWA BARAT,KAB. BANDUNG,PASIRJAMBU,PASIRJAMBU,40364,
444,JAWA TENGAH,KAB. KUDUS,UNDAAN,UNDAAN KIDUL,59372,
445,SULAWESI TENGGARA,KAB. KOLAKA UTARA,BATU PUTIH,PUNCAK HARAPAN,93955,
446,JAWA TENGAH,KAB. GROBOGAN,KEDUNGJATI,KEDUNGJATI,58167,
447,SUMATERA UTARA,KAB. PADANG LAWAS,BARUMUN TENGAH,SIBORIS DOLOK,22755,
448,JAWA TENGAH,KAB. TEMANGGUNG,BULU,PUTAT,56253,
449,JAWA BARAT,KAB. TASIKMALAYA,SUKARESIK,SUKAMENAK,46459,
450,JAWA TENGAH,KAB. SRAGEN,TANON,KALIKOBOK,57277,
451,JAWA BARAT,KAB. CIANJUR,CILAKU,CIBINONGHILIR,43285,
452,JAWA TIMUR,KAB. BANYUWANGI,TEGALSARI,TEGALREJO,68491,
453,RIAU,KAB. KEPULAUAN MERANTI,RANGSANG BARAT,BINA MAJU,28795,
454,JAWA TENGAH,KAB. PURBALINGGA,REMBANG,GUNUNGWULED,53356,
455,JAWA TIMUR,KAB. BOJONEGORO,MALO,KLITEH,62153,
456,SUMATERA UTARA,KAB. DAIRI,TIGALINGGA,SUMBUL TENGAH,22252,
457,KALIMANTAN TIMUR,KAB. KUTAI BARAT,BARONG TONGKOK,GELEO BARU,75711,
458,KALIMANTAN BARAT,KAB. BENGKAYANG,TERIAK,BANA,79275,
459,SULAWESI UTARA,KAB. KEPULAUAN TALAUD,MELONGUANE TIMUR,TULE TENGAH,95885,
460,JAWA TENGAH,KOTA TEGAL,TEGAL BARAT,DEBONG LOR,52115,
461,SULAWESI SELATAN,KAB. TANA TORAJA,MAPPAK,TANETE,91874,
462,BANTEN,KAB. PANDEGLANG,SUKARESMI,SEUSEUPAN,42268,
463,SULAWESI TENGAH,KAB. MOROWALI,BAHODOPI,DAMPALA,94951,
464,SULAWESI UTARA,KAB. MINAHASA UTARA,LIKUPANG BARAT,MUNTE,95378,
465,SULAWESI UTARA,KAB. KEPULAUAN SANGIHE,TAMAKO,MAHUMU I,95855,
466,SULAWESI UTARA,KOTA TOMOHON,TOMOHON UTARA,KINILOW SATU,95413,
467,JAWA BARAT,KAB. MAJALENGKA,BANJARAN,SUNIA,45468,
468,JAMBI,KAB. BATANGHARI,BATIN XXIV,JELUTIH,36656,
469,ACEH,KAB. ACEH TAMIANG,BANDAR PUSAKA,PENGIDAM,24478,
470,PAPUA BARAT DAYA,KAB. TELUK BINTUNI,MOSKONA TIMUR,IGOMU,98568,
471,JAWA TENGAH,KAB. TEMANGGUNG,KRANGGAN,SANGGRAHAN,56271,
472,SULAWESI SELATAN,KAB. LUWU TIMUR,ANGKONA,TARIPA,92985,
473,RIAU,KAB. SIAK,KERINCI KANAN,SEMINAI,28655,
474,SUMATERA UTARA,KAB. DELI SERDANG,SIBIRU-BIRU,TANJUNG SENA,20358,
475,JAMBI,KAB. BUNGO,LIMBUR LUBUK MENGKUANG,TEBO JAYA,37266,
476,PAPUA TENGAH,KAB. INTAN JAYA,HOMEYO,POGAPA,98777,
477,SUMATERA SELATAN,KAB. OGAN KOMERING ULU TIMUR,CEMPAKA,ULAK BARU,32384,
478,SULAWESI TENGGARA,KAB. KONAWE SELATAN,LAEYA,AMBAKUMINA,93887,
479,JAWA BARAT,KAB. SUBANG,DAWUAN,SITUSARI,41273,
480,KALIMANTAN SELATAN,KAB. TANAH LAUT,BAJUIN,GALAM,70851,
481,JAWA TIMUR,KAB. NGANJUK,PACE,SANAN,64472,
482,JAMBI,KAB. BUNGO,PELEPAT ILIR,LUBUK,37252,
483,SULAWESI SELATAN,KAB. LUWU TIMUR,TOMONI TIMUR,PATTENGKO,92976,
484,JAWA TIMUR,KAB. TUBAN,JENU,JENGGOLO,62352,
485,JAWA TIMUR,KAB. KEDIRI,MOJO,SURAT,64162,
486,RIAU,KAB. INDRAGIRI HILIR,KATEMAN,SARI MULIA,29255,
487,JAWA BARAT,KAB. CIAMIS,SUKADANA,CIPARIGI,46272,
488,SUMATERA UTARA,KAB. DELI SERDANG,PERCUT SEI TUAN,MEDAN ESTATE,20371,
489,JAWA TENGAH,KAB. BLORA,JEPON,SEMAMPIR,58261,
490,SUMATERA UTARA,KAB. LANGKAT,SAWIT SEBERANG,SIMPANG TIGA,20884,
491,SUMATERA UTARA,KAB. TAPANULI TENGAH,SORKAM,DOLOK PANTIS,22563,
492,JAWA TENGAH,KAB. GROBOGAN,NGARINGAN,PENDEM,58193,
493,PAPUA BARAT DAYA,KAB. TAMBRAUW,SAUSAPOR,-,-,
494,JAWA TIMUR,KAB. BONDOWOSO,TAPEN,TAAL,68283,
495,NUSA TENGGARA TIMUR,KAB. LEMBATA,OMESURI,MAHAL I,86691,
496,JAWA TENGAH,KAB. PURWOREJO,GRABAG,BANYUYOSO,54165,
497,PAPUA SELATAN,KAB. MERAUKE,KURIK,SUMBER MULYA,99656,
498,JAWA TENGAH,KOTA PEKALONGAN,PEKALONGAN SELATAN,KURIPAN YOSOREJO,51136,
499,SUMATERA UTARA,KAB. TAPANULI SELATAN,SAYUR MATINGGI,MONDANG,22774,
500,SUMATERA UTARA,KAB. TAPANULI UTARA,MUARA,ARITONANG,22476,
501,SUMATERA UTARA,KAB. DELI SERDANG,NAMORAMBE,NAMO MBARU,20356,
502,JAWA TENGAH,KAB. BATANG,KANDEMAN,DEPOK,51264,
503,SULAWESI BARAT,KAB. POLEWALI MANDAR,POLEWALI,POLEWALI,91311,
504,JAWA TENGAH,KAB. SRAGEN,TANON,SUWATU,57277,
505,LAMPUNG,KAB. WAY KANAN,PAKUAN RATU,GUNUNG CAHYA,34762,
506,BANTEN,KAB. SERANG,KIBIN,TAMBAK,42185,
507,SULAWESI TENGAH,KOTA PALU,MANTIKULORE,TALISE,94118,
508,SULAWESI UTARA,KAB. MINAHASA UTARA,WORI,MINAESA,95376,
509,JAWA TENGAH,KAB. DEMAK,MIJEN,BREMI,59583,
510,SULAWESI TENGGARA,KAB. WAKATOBI,KALEDUPA SELATAN,LANGGE,93796,
511,JAWA TENGAH,KAB. WONOGIRI,GIRITONTRO,NGARGOHARJO,57676,
512,SULAWESI UTARA,KAB. KEPULAUAN TALAUD,GEMEH,MALAT UTARA,95886,
513,SULAWESI SELATAN,KOTA MAKASSAR,MAMAJANG,MARICAYA SELATAN,90131,
514,JAWA TENGAH,KAB. TEMANGGUNG,NGADIREJO,KATAAN,56255,
515,JAWA TENGAH,KAB. TEMANGGUNG,TEMANGGUNG,MUNGSENG,56219,
516,JAWA BARAT,KAB. KUNINGAN,PANCALANG,RAJAWETAN,45557,
517,JAWA BARAT,KAB. CIREBON,PABEDILAN,DUKUHWIDARA,45693,
518,SUMATERA UTARA,KAB. DELI SERDANG,NAMORAMBE,BATU GEMUK,20356,
519,JAWA TIMUR,KAB. PAMEKASAN,PAMEKASAN,NYALABU LAOK,69319,
520,KALIMANTAN SELATAN,KAB. KOTABARU,PULAU SEMBILAN,TENGAH,72181,
521,KALIMANTAN SELATAN,KAB. TANAH LAUT,PELAIHARI,SUNGAI RIAM,70819,
522,NUSA TENGGARA TIMUR,KAB. MANGGARAI BARAT,KOMODO,GOLO PONGKOR,86711,
523,MALUKU UTARA,KAB. HALMAHERA BARAT,SAHU TIMUR,TIBOBO,97756,
524,NUSA TENGGARA TIMUR,KAB. MALAKA,WEWIKU,WEBRIAMATA,85769,
525,SULAWESI TENGGARA,KAB. BOMBANA,TONTONUNU,WATU MELOMBA,93775,
526,JAMBI,KAB. BATANGHARI,BATIN XXIV,SIMPANG KARMEO,36656,
527,JAWA TIMUR,KAB. SIDOARJO,BALONGBENDO,WONOKARANG,61263,
528,ACEH,KAB. PIDIE,PIDIE,ULEE CEUE,24151,
529,SULAWESI BARAT,KAB. MAMASA,SUMARORONG,BATANGNGURU TIMUR,91361,
530,JAWA TENGAH,KAB. PURWOREJO,BAGELEN,BAPANGSARI,54174,
531,PAPUA,KAB. BIAK NUMFOR,BIAK BARAT,MARISEN,98154,
532,MALUKU,KAB. MALUKU TENGAH,LEIHITU,HITUMESSING,97543,
533,RIAU,KAB. ROKAN HULU,KUNTO DARUSSALAM,KOTA RAYA,28556,
534,KALIMANTAN TENGAH,KAB. KOTAWARINGIN TIMUR,BUKIT SANTUAI,TANAH HALUAN,74357,
535,SUMATERA SELATAN,KAB. LAHAT,KIKIM TENGAH,PURBAMAS,31454,
536,JAWA TIMUR,KAB. GRESIK,PANCENG,WOTAN,61156,
537,LAMPUNG,KAB. TANGGAMUS,CUKUH BALAK,SUKA PADANG,35683,
538,JAWA TENGAH,KAB. KARANGANYAR,JENAWI,MENJING,57794,
539,MALUKU UTARA,KAB. HALMAHERA BARAT,LOLODA,BOSALA,97755,
540,SULAWESI SELATAN,KAB. TAKALAR,POLOMBANGKENG UTARA,LASSANG,92252,
541,MALUKU,KAB. MALUKU TENGGARA,KEI KECIL TIMUR,OHOINOL,97656,
542,KALIMANTAN TIMUR,KAB. BERAU,BATU PUTIH,BALIKUKUP,77374,
543,SULAWESI SELATAN,KAB. PINRANG,PATAMPANUA,MACCIRINNA,91252,
544,GORONTALO,KOTA GORONTALO,SIPATANA,TANGGIKIKI,96124,
545,SULAWESI TENGAH,KAB. BANGGAI,NUHON,KABUA BUA,94754,
546,JAWA TENGAH,KOTA SURAKARTA,LAWEYAN,LAWEYAN,57148,
547,KALIMANTAN BARAT,KAB. SANGGAU,TAYAN HILIR,MELUGAI,78564,
548,PAPUA BARAT DAYA,KAB. KAIMANA,KAIMANA,SARA,98671,
549,JAWA TIMUR,KAB. MADIUN,WUNGU,BRUMBUN,63181,
550,SULAWESI TENGAH,KAB. SIGI,GUMBASA,PANDERE,94383,
551,PAPUA BARAT DAYA,KAB. KAIMANA,KAIMANA,COA,98671,
552,SUMATERA BARAT,KAB. DHARMASRAYA,PULAU PUNJUNG,-,-,
553,JAMBI,KOTA JAMBI,JAMBI TIMUR,RAJAWALI,36143,
554,JAWA TIMUR,KAB. PAMEKASAN,LARANGAN,TARABAN,69384,
555,JAWA TIMUR,KAB. BOJONEGORO,BOJONEGORO,MOJOKAMPUNG,62116,
556,ACEH,KAB. PIDIE,PADANG TIJI,BLANG GEULEUDIENG,24161,
557,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,DUMOGA,SERASI,95742,
558,JAWA TIMUR,KAB. BLITAR,SANANKULON,SUMBERINGIN,66151,
559,JAWA TIMUR,KAB. KEDIRI,PLEMAHAN,RINGINPITU,64155,
560,PAPUA BARAT DAYA,KAB. KAIMANA,TELUK ARGUNI ATAS,SAWI,98673,
561,SULAWESI SELATAN,KAB. BULUKUMBA,BULUKUMPA,BALANGTAROANG,92552,
562,JAWA BARAT,KAB. CIANJUR,KARANGTENGAH,SINDANGASIH,43281,
563,JAWA TENGAH,KAB. DEMAK,WONOSALAM,BOTOREJO,59571,
564,SUMATERA UTARA,KAB. KARO,KUTABULUH,GUNUNG MERIAH,22155,
565,SUMATERA UTARA,KAB. DAIRI,SUMBUL,PAGAGAN JULU VI,22281,
566,BALI,KAB. TABANAN,KEDIRI,NYITDAH,82171,
567,SUMATERA UTARA,KOTA PADANGSIDIMPUAN,PADANGSIDIMPUAN BATUNADUA,BATUNADUA JAE,22743,
568,JAWA TENGAH,KAB. KEBUMEN,SEMPOR,BEJIRUYUNG,54371,
569,JAWA TIMUR,KAB. TUBAN,BANCAR,SUMBERAN,62354,
570,JAWA BARAT,KAB. CIAMIS,TAMBAKSARI,SUKASARI,46293,
571,SULAWESI TENGGARA,KAB. KONAWE,LALONGGASUMEETO,LALOMBONDA,93472,
572,SULAWESI TENGAH,KAB. TOLI TOLI,OGODEIDE,SAMBUJAN,94551,
573,JAWA TENGAH,KAB. PATI,TLOGOWUNGU,GUNUNGSARI,59161,
574,SUMATERA BARAT,KAB. PESISIR SELATAN,IV JURAI,-,-,
575,PAPUA PEGUNUNGAN,KAB. PEGUNUNGAN BINTANG,ABOY,LUBAN,99578,
576,JAWA TENGAH,KAB. KLATEN,KARANGANOM,JAMBEYAN,57475,
577,SULAWESI SELATAN,KAB. LUWU TIMUR,MALILI,USSU,92981,
578,JAWA BARAT,KAB. CIAMIS,RANCAH,RANCAH,46292,
579,JAWA TIMUR,KOTA PASURUAN,PURWOREJO,TEMBOKREJO,67118,
580,JAWA TENGAH,KAB. KLATEN,TULUNG,WUNUT,57482,
581,JAWA BARAT,KOTA TASIKMALAYA,CIHIDEUNG,YUDANAGARA,46121,
582,SUMATERA SELATAN,KAB. LAHAT,PAGAR GUNUNG,RIMBA SUJUD,31466,
583,PAPUA PEGUNUNGAN,KAB. TOLIKARA,KAI,KAIGA,99455,
584,SULAWESI TENGGARA,KAB. MUNA BARAT,KUSAMBI,-,-,
585,JAWA TIMUR,KAB. PONOROGO,SAMPUNG,KUNTI,63454,
586,LAMPUNG,KAB. TANGGAMUS,BULOK,PEMATANG NEBAK,35682,
587,SULAWESI UTARA,KAB. MINAHASA SELATAN,AMURANG BARAT,KAWANGKOAN BAWAH,95928,
588,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA,PUDING BESAR,LABU,33279,
589,JAWA TIMUR,KAB. PONOROGO,JAMBON,KARANGLO KIDUL,63456,
590,LAMPUNG,KAB. PESISIR BARAT,WAY KRUI,PENGGAWA V ILIR,35974,
591,ACEH,KAB. ACEH BESAR,LHOONG,UTAMONG,23354,
592,SULAWESI SELATAN,KAB. LUWU,LAROMPONG SELATAN,GANDANG BATU,91998,
593,JAWA TENGAH,KAB. BLORA,CEPU,NGROTO,58275,
594,BENGKULU,KAB. BENGKULU SELATAN,KEDURANG,TANJUNG BESAR,38553,
595,ACEH,KAB. ACEH SELATAN,LABUHAN HAJI TIMUR,PAYA PEULUMAT,23758,
596,SULAWESI TENGGARA,KAB. BOMBANA,POLEANG BARAT,PABIRING,93772,
597,JAWA TENGAH,KAB. KUDUS,JEKULO,HONGGOSOCO,59382,
598,ACEH,KAB. ACEH TIMUR,NURUSSALAM,PEULAWI,24456,
599,DKI JAKARTA,KOTA ADM. JAKARTA TIMUR,CIRACAS,SUSUKAN,13750,
600,JAWA TIMUR,KAB. MAGETAN,SIDOREJO,SIDOREJO,63363,
601,RIAU,KAB. ROKAN HULU,TANDUN,KUMAIN,28566,
602,JAWA TENGAH,KAB. PATI,GEMBONG,WONOSEKAR,59162,
603,SULAWESI SELATAN,KAB. WAJO,MAJAULENG,LIMPOMAJANG,90991,
